grna_target	response_id
chr12:110267042-110267342	IFT81
chr12:110267042-110267342	ATP2A2
chr12:110267042-110267342	ANAPC7
chr12:111998663-111998963	ERP29
chr12:111998663-111998963	NAA25
chr12:111998663-111998963	TRAFD1
chr12:112006151-112006451	ERP29
chr12:112006151-112006451	NAA25
chr12:112006151-112006451	TRAFD1
chr12:112170428-112170728	ERP29
chr12:112170428-112170728	NAA25
chr12:112170428-112170728	TRAFD1
chr12:112180802-112181102	ERP29
chr12:112180802-112181102	NAA25
chr12:112180802-112181102	TRAFD1
chr12:123978016-123978316	CCDC92
chr12:123978016-123978316	ZNF664
chr12:123992162-123992462	CCDC92
chr12:123992162-123992462	ZNF664
chr1:230144455-230144755	GALNT2
chr1:230144455-230144755	COG2
chr1:230153966-230154266	GALNT2
chr1:230153966-230154266	COG2
chr12:57372251-57372551	LRP1
chr12:57372251-57372551	SHMT2
chr12:57372251-57372551	R3HDM2
chr12:57372251-57372551	GLI1
chr12:57372251-57372551	DDIT3
chr12:57372251-57372551	MBD6
chr12:57372251-57372551	DCTN2
chr12:57372251-57372551	PIP4K2C
chr12:57372251-57372551	DTX3
chr12:57372251-57372551	ARHGEF25
chr12:57386252-57386552	LRP1
chr12:57386252-57386552	SHMT2
chr12:57386252-57386552	R3HDM2
chr12:57386252-57386552	GLI1
chr12:57386252-57386552	DDIT3
chr12:57386252-57386552	MBD6
chr12:57386252-57386552	DCTN2
chr12:57386252-57386552	PIP4K2C
chr12:57386252-57386552	DTX3
chr12:57386252-57386552	ARHGEF25
chr12:89370861-89371161	DUSP6
chr12:89370861-89371161	ATP2B1
chr12:95097601-95097901	NDUFA12
chr12:95097601-95097901	NR2C1
chr12:95097601-95097901	VEZT
chr12:95097601-95097901	METAP2
chr12:95110493-95110793	NDUFA12
chr12:95110493-95110793	NR2C1
chr12:95110493-95110793	VEZT
chr12:95110493-95110793	METAP2
chr12:95118458-95118758	NDUFA12
chr12:95118458-95118758	NR2C1
chr12:95118458-95118758	VEZT
chr12:95118458-95118758	METAP2
chr12:95129235-95129535	NDUFA12
chr12:95129235-95129535	NR2C1
chr12:95129235-95129535	VEZT
chr12:95129235-95129535	METAP2
chr12:95312942-95313242	NDUFA12
chr12:95312942-95313242	NR2C1
chr12:95312942-95313242	VEZT
chr12:95312942-95313242	METAP2
chr12:95317989-95318289	NDUFA12
chr12:95317989-95318289	NR2C1
chr12:95317989-95318289	VEZT
chr12:95317989-95318289	METAP2
chr13:110196236-110196536	COL4A1
chr13:110196236-110196536	COL4A2
chr13:110208362-110208662	COL4A1
chr13:110208362-110208662	COL4A2
chr13:32618606-32618906	N4BP2L2
chr13:32618606-32618906	PDS5B
chr13:32624495-32624795	N4BP2L2
chr13:32624495-32624795	PDS5B
chr13:98196794-98197094	IPO5
chr13:98196794-98197094	FARP1
chr13:98207054-98207354	IPO5
chr13:98207054-98207354	FARP1
chr14:103431855-103432155	EIF5
chr14:103431855-103432155	MARK3
chr14:103431855-103432155	CKB
chr14:103431855-103432155	BAG5
chr14:103436588-103436888	EIF5
chr14:103436588-103436888	MARK3
chr14:103436588-103436888	CKB
chr14:103436588-103436888	BAG5
chr14:103518177-103518477	EIF5
chr14:103518177-103518477	MARK3
chr14:103518177-103518477	CKB
chr14:103518177-103518477	BAG5
chr14:75088609-75088909	EIF2B2
chr14:75088609-75088909	NEK9
chr14:75088609-75088909	TMED10
chr14:75098574-75098874	EIF2B2
chr14:75098574-75098874	NEK9
chr14:75098574-75098874	TMED10
chr14:75125648-75125948	EIF2B2
chr14:75125648-75125948	NEK9
chr14:75125648-75125948	TMED10
chr14:75129813-75130113	EIF2B2
chr14:75129813-75130113	NEK9
chr14:75129813-75130113	TMED10
chr14:75199217-75199517	EIF2B2
chr14:75199217-75199517	NEK9
chr14:75199217-75199517	TMED10
chr14:99882937-99883237	EML1
chr14:99882937-99883237	EVL
chr14:99892477-99892777	EML1
chr14:99892477-99892777	EVL
chr15:40971990-40972290	RMDN3
chr15:40971990-40972290	DNAJC17
chr15:40971990-40972290	ZFYVE19
chr15:40971990-40972290	VPS18
chr15:40971990-40972290	CHAC1
chr15:40971990-40972290	INO80
chr1:56502651-56502951	PLPP3
chr1:56514333-56514633	PLPP3
chr15:67071209-67071509	SMAD3
chr15:67071209-67071509	AAGAB
chr15:67074361-67074661	SMAD3
chr15:67074361-67074661	AAGAB
chr15:67150081-67150381	SMAD3
chr15:67150081-67150381	AAGAB
chr15:67161464-67161764	SMAD3
chr15:67161464-67161764	AAGAB
chr15:73916370-73916670	LOXL1-AS1
chr15:73916370-73916670	LOXL1
chr15:73916370-73916670	STOML1
chr15:73916370-73916670	PML
chr15:73916370-73916670	CLK3
chr15:73931041-73931341	LOXL1-AS1
chr15:73931041-73931341	LOXL1
chr15:73931041-73931341	STOML1
chr15:73931041-73931341	PML
chr15:73931041-73931341	CLK3
chr15:78727634-78727934	SKIC8
chr15:78727634-78727934	ADAMTS7
chr15:78727634-78727934	MORF4L1
chr15:78751050-78751350	SKIC8
chr15:78751050-78751350	ADAMTS7
chr15:78751050-78751350	MORF4L1
chr15:78755908-78756208	SKIC8
chr15:78755908-78756208	ADAMTS7
chr15:78755908-78756208	MORF4L1
chr15:78779696-78779996	SKIC8
chr15:78779696-78779996	ADAMTS7
chr15:78779696-78779996	MORF4L1
chr15:78786435-78786735	SKIC8
chr15:78786435-78786735	ADAMTS7
chr15:78786435-78786735	MORF4L1
chr15:78859937-78860237	SKIC8
chr15:78859937-78860237	ADAMTS7
chr15:78859937-78860237	MORF4L1
chr15:78905919-78906219	SKIC8
chr15:78905919-78906219	ADAMTS7
chr15:78905919-78906219	MORF4L1
chr15:78909831-78910131	SKIC8
chr15:78909831-78910131	ADAMTS7
chr15:78909831-78910131	MORF4L1
chr15:90864568-90864868	FURIN
chr15:90864568-90864868	FES
chr15:90864568-90864868	MAN2A2
chr15:90864568-90864868	UNC45A
chr15:90864568-90864868	RCCD1
chr15:90864568-90864868	PRC1
chr15:90866948-90867248	FURIN
chr15:90866948-90867248	FES
chr15:90866948-90867248	MAN2A2
chr15:90866948-90867248	UNC45A
chr15:90866948-90867248	RCCD1
chr15:90866948-90867248	PRC1
chr15:90869745-90870045	FURIN
chr15:90869745-90870045	FES
chr15:90869745-90870045	MAN2A2
chr15:90869745-90870045	UNC45A
chr15:90869745-90870045	RCCD1
chr15:90869745-90870045	PRC1
chr16:15805061-15805361	NDE1
chr16:15805061-15805361	ABCC1
chr16:15807639-15807939	NDE1
chr16:15807639-15807939	ABCC1
chr16:15812147-15812447	NDE1
chr16:15812147-15812447	ABCC1
chr16:15815599-15815899	NDE1
chr16:15815599-15815899	ABCC1
chr16:15817443-15817743	NDE1
chr16:15817443-15817743	ABCC1
chr16:15821874-15822174	NDE1
chr16:15821874-15822174	ABCC1
chr16:28182253-28182553	XPO6
chr16:28182253-28182553	CLN3
chr16:28190989-28191289	XPO6
chr16:28190989-28191289	CLN3
chr16:53761342-53761642	RPGRIP1L
chr16:53761342-53761642	FTO
chr16:53766748-53767048	RPGRIP1L
chr16:53766748-53767048	FTO
chr16:53785071-53785371	RPGRIP1L
chr16:53785071-53785371	FTO
chr16:53799242-53799542	RPGRIP1L
chr16:53799242-53799542	FTO
chr16:75225178-75225478	BCAR1
chr16:75225178-75225478	CFDP1
chr16:75225178-75225478	TMEM231
chr16:75395260-75395560	BCAR1
chr16:75395260-75395560	CFDP1
chr16:75395260-75395560	TMEM231
chr16:75399067-75399367	BCAR1
chr16:75399067-75399367	CFDP1
chr16:75399067-75399367	TMEM231
chr16:75402223-75402523	BCAR1
chr16:75402223-75402523	CFDP1
chr16:75402223-75402523	TMEM231
chr16:75409335-75409635	BCAR1
chr16:75409335-75409635	CFDP1
chr16:75409335-75409635	TMEM231
chr16:75429878-75430178	BCAR1
chr16:75429878-75430178	CFDP1
chr16:75429878-75430178	TMEM231
chr17:17699573-17699873	RAI1
chr17:17699573-17699873	RAI1-AS1
chr17:17699573-17699873	SREBF1
chr17:17699573-17699873	TOM1L2
chr17:17699573-17699873	ATPAF2
chr17:17699573-17699873	DRG2
chr17:17705080-17705380	RAI1
chr17:17705080-17705380	RAI1-AS1
chr17:17705080-17705380	SREBF1
chr17:17705080-17705380	TOM1L2
chr17:17705080-17705380	ATPAF2
chr17:17705080-17705380	DRG2
chr17:17818029-17818329	RAI1
chr17:17818029-17818329	RAI1-AS1
chr17:17818029-17818329	SREBF1
chr17:17818029-17818329	TOM1L2
chr17:17818029-17818329	ATPAF2
chr17:17818029-17818329	DRG2
chr17:17832844-17833144	RAI1
chr17:17832844-17833144	RAI1-AS1
chr17:17832844-17833144	SREBF1
chr17:17832844-17833144	TOM1L2
chr17:17832844-17833144	ATPAF2
chr17:17832844-17833144	DRG2
chr17:17948579-17948879	RAI1
chr17:17948579-17948879	RAI1-AS1
chr17:17948579-17948879	SREBF1
chr17:17948579-17948879	TOM1L2
chr17:17948579-17948879	ATPAF2
chr17:17948579-17948879	DRG2
chr17:17962951-17963251	RAI1
chr17:17962951-17963251	RAI1-AS1
chr17:17962951-17963251	SREBF1
chr17:17962951-17963251	TOM1L2
chr17:17962951-17963251	ATPAF2
chr17:17962951-17963251	DRG2
chr17:17968086-17968386	RAI1
chr17:17968086-17968386	RAI1-AS1
chr17:17968086-17968386	SREBF1
chr17:17968086-17968386	TOM1L2
chr17:17968086-17968386	ATPAF2
chr17:17968086-17968386	DRG2
chr17:18008914-18009214	RAI1
chr17:18008914-18009214	RAI1-AS1
chr17:18008914-18009214	SREBF1
chr17:18008914-18009214	TOM1L2
chr17:18008914-18009214	ATPAF2
chr17:18008914-18009214	DRG2
chr17:18011642-18011942	RAI1
chr17:18011642-18011942	RAI1-AS1
chr17:18011642-18011942	SREBF1
chr17:18011642-18011942	TOM1L2
chr17:18011642-18011942	ATPAF2
chr17:18011642-18011942	DRG2
chr17:2110910-2111210	DPH1
chr17:2110910-2111210	OVCA2
chr17:2110910-2111210	HIC1
chr17:2110910-2111210	SMG6
chr17:2110910-2111210	SRR
chr17:2110910-2111210	TSR1
chr17:2110910-2111210	SGSM2
chr17:2122968-2123268	DPH1
chr17:2122968-2123268	OVCA2
chr17:2122968-2123268	HIC1
chr17:2122968-2123268	SMG6
chr17:2122968-2123268	SRR
chr17:2122968-2123268	TSR1
chr17:2122968-2123268	SGSM2
chr17:2157090-2157390	DPH1
chr17:2157090-2157390	OVCA2
chr17:2157090-2157390	HIC1
chr17:2157090-2157390	SMG6
chr17:2157090-2157390	SRR
chr17:2157090-2157390	TSR1
chr17:2157090-2157390	SGSM2
chr17:2161778-2162078	DPH1
chr17:2161778-2162078	OVCA2
chr17:2161778-2162078	HIC1
chr17:2161778-2162078	SMG6
chr17:2161778-2162078	SRR
chr17:2161778-2162078	TSR1
chr17:2161778-2162078	SGSM2
chr17:2169175-2169475	DPH1
chr17:2169175-2169475	OVCA2
chr17:2169175-2169475	HIC1
chr17:2169175-2169475	SMG6
chr17:2169175-2169475	SRR
chr17:2169175-2169475	TSR1
chr17:2169175-2169475	SGSM2
chr17:2192598-2192898	DPH1
chr17:2192598-2192898	OVCA2
chr17:2192598-2192898	HIC1
chr17:2192598-2192898	SMG6
chr17:2192598-2192898	SRR
chr17:2192598-2192898	TSR1
chr17:2192598-2192898	SGSM2
chr17:2198963-2199263	DPH1
chr17:2198963-2199263	OVCA2
chr17:2198963-2199263	HIC1
chr17:2198963-2199263	SMG6
chr17:2198963-2199263	SRR
chr17:2198963-2199263	TSR1
chr17:2198963-2199263	SGSM2
chr17:2207428-2207728	DPH1
chr17:2207428-2207728	OVCA2
chr17:2207428-2207728	HIC1
chr17:2207428-2207728	SMG6
chr17:2207428-2207728	SRR
chr17:2207428-2207728	TSR1
chr17:2207428-2207728	SGSM2
chr17:2267351-2267651	DPH1
chr17:2267351-2267651	OVCA2
chr17:2267351-2267651	HIC1
chr17:2267351-2267651	SMG6
chr17:2267351-2267651	SRR
chr17:2267351-2267651	TSR1
chr17:2267351-2267651	SGSM2
chr17:2278677-2278977	DPH1
chr17:2278677-2278977	OVCA2
chr17:2278677-2278977	HIC1
chr17:2278677-2278977	SMG6
chr17:2278677-2278977	SRR
chr17:2278677-2278977	TSR1
chr17:2278677-2278977	SGSM2
chr17:29680086-29680386	TP53I13
chr17:29680086-29680386	GIT1
chr17:29680086-29680386	SSH2
chr17:29680086-29680386	NSRP1
chr17:29689184-29689484	TP53I13
chr17:29689184-29689484	GIT1
chr17:29689184-29689484	SSH2
chr17:29689184-29689484	NSRP1
chr17:29962720-29963020	TP53I13
chr17:29962720-29963020	GIT1
chr17:29962720-29963020	SSH2
chr17:29962720-29963020	NSRP1
chr17:29974884-29975184	TP53I13
chr17:29974884-29975184	GIT1
chr17:29974884-29975184	SSH2
chr17:29974884-29975184	NSRP1
chr17:39365332-39365632	MED1
chr17:39365332-39365632	CDK12
chr17:39365332-39365632	STARD3
chr17:39365332-39365632	GSDMB
chr17:39371934-39372234	MED1
chr17:39371934-39372234	CDK12
chr17:39371934-39372234	STARD3
chr17:39371934-39372234	GSDMB
chr17:39540442-39540742	MED1
chr17:39540442-39540742	CDK12
chr17:39540442-39540742	STARD3
chr17:39540442-39540742	GSDMB
chr17:39553640-39553940	MED1
chr17:39553640-39553940	CDK12
chr17:39553640-39553940	STARD3
chr17:39553640-39553940	GSDMB
chr17:42413707-42414007	STAT3
chr17:42413707-42414007	ATP6V0A1
chr17:42413707-42414007	COASY
chr17:42413707-42414007	MLX
chr17:42413707-42414007	TUBG1
chr17:42413707-42414007	TUBG2
chr17:42413707-42414007	PLEKHH3
chr17:42413707-42414007	CNTNAP1
chr17:42413707-42414007	EZH1
chr17:42413707-42414007	AARSD1
chr17:42413707-42414007	RUNDC1
chr17:42413707-42414007	RPL27
chr17:42413707-42414007	IFI35
chr17:42413707-42414007	VAT1
chr17:42413707-42414007	NBR1
chr17:42425510-42425810	STAT3
chr17:42425510-42425810	ATP6V0A1
chr17:42425510-42425810	COASY
chr17:42425510-42425810	MLX
chr17:42425510-42425810	TUBG1
chr17:42425510-42425810	TUBG2
chr17:42425510-42425810	PLEKHH3
chr17:42425510-42425810	CNTNAP1
chr17:42425510-42425810	EZH1
chr17:42425510-42425810	AARSD1
chr17:42425510-42425810	RUNDC1
chr17:42425510-42425810	RPL27
chr17:42425510-42425810	IFI35
chr17:42425510-42425810	VAT1
chr17:42425510-42425810	NBR1
chr17:42656178-42656478	STAT3
chr17:42656178-42656478	ATP6V0A1
chr17:42656178-42656478	COASY
chr17:42656178-42656478	MLX
chr17:42656178-42656478	TUBG1
chr17:42656178-42656478	TUBG2
chr17:42656178-42656478	PLEKHH3
chr17:42656178-42656478	CNTNAP1
chr17:42656178-42656478	EZH1
chr17:42656178-42656478	AARSD1
chr17:42656178-42656478	RUNDC1
chr17:42656178-42656478	RPL27
chr17:42656178-42656478	IFI35
chr17:42656178-42656478	VAT1
chr17:42656178-42656478	NBR1
chr17:42656178-42656478	DHX8
chr17:43029711-43030011	STAT3
chr17:43029711-43030011	ATP6V0A1
chr17:43029711-43030011	COASY
chr17:43029711-43030011	MLX
chr17:43029711-43030011	TUBG1
chr17:43029711-43030011	TUBG2
chr17:43029711-43030011	PLEKHH3
chr17:43029711-43030011	CNTNAP1
chr17:43029711-43030011	EZH1
chr17:43029711-43030011	AARSD1
chr17:43029711-43030011	RUNDC1
chr17:43029711-43030011	RPL27
chr17:43029711-43030011	IFI35
chr17:43029711-43030011	VAT1
chr17:43029711-43030011	NBR1
chr17:43029711-43030011	DHX8
chr17:43034714-43035014	STAT3
chr17:43034714-43035014	ATP6V0A1
chr17:43034714-43035014	COASY
chr17:43034714-43035014	MLX
chr17:43034714-43035014	TUBG1
chr17:43034714-43035014	TUBG2
chr17:43034714-43035014	PLEKHH3
chr17:43034714-43035014	CNTNAP1
chr17:43034714-43035014	EZH1
chr17:43034714-43035014	AARSD1
chr17:43034714-43035014	RUNDC1
chr17:43034714-43035014	RPL27
chr17:43034714-43035014	IFI35
chr17:43034714-43035014	VAT1
chr17:43034714-43035014	NBR1
chr17:43034714-43035014	DHX8
chr17:43334183-43334483	STAT3
chr17:43334183-43334483	ATP6V0A1
chr17:43334183-43334483	COASY
chr17:43334183-43334483	MLX
chr17:43334183-43334483	TUBG1
chr17:43334183-43334483	TUBG2
chr17:43334183-43334483	PLEKHH3
chr17:43334183-43334483	CNTNAP1
chr17:43334183-43334483	EZH1
chr17:43334183-43334483	AARSD1
chr17:43334183-43334483	RUNDC1
chr17:43334183-43334483	RPL27
chr17:43334183-43334483	IFI35
chr17:43334183-43334483	VAT1
chr17:43334183-43334483	NBR1
chr17:43334183-43334483	DHX8
chr17:45574449-45574749	HEXIM1
chr17:45574449-45574749	PLEKHM1
chr17:45583398-45583698	HEXIM1
chr17:45583398-45583698	PLEKHM1
chr17:46916251-46916551	GOSR2
chr17:46916251-46916551	CDC27
chr17:46916251-46916551	NPEPPS
chr17:46916251-46916551	KPNB1
